Date,Close
2005-10-19,"1,195.76"
2005-10-20,"1,177.85"
2005-10-21,"1,179.59"
2005-10-24,"1,199.38"
2005-10-25,"1,196.54"
2005-10-26,"1,191.38"
2005-10-27,"1,178.90"
2005-10-28,"1,198.41"
2005-10-31,"1,207.01"
2005-11-01,"1,202.76"
2005-11-02,"1,214.76"
2005-11-03,"1,219.94"
2005-11-04,"1,220.14"
2005-11-07,"1,222.81"
2005-11-08,"1,218.59"
2005-11-09,"1,220.65"
2005-11-10,"1,230.96"
2005-11-11,"1,234.72"
2005-11-14,"1,233.76"
2005-11-15,"1,229.01"
2005-11-16,"1,231.21"
2005-11-17,"1,242.80"
2005-11-18,"1,247.27"
2005-11-21,"1,254.85"
2005-11-22,"1,261.23"
2005-11-23,"1,265.61"
2005-11-24,"1,265.61"
2005-11-25,"1,268.25"
2005-11-28,"1,257.46"
2005-11-29,"1,257.48"
2005-11-30,"1,249.48"
2005-12-01,"1,264.67"
2005-12-02,"1,265.08"
2005-12-05,"1,262.09"
2005-12-06,"1,263.70"
2005-12-07,"1,257.37"
2005-12-08,"1,255.84"
2005-12-09,"1,259.37"
2005-12-12,"1,260.43"
2005-12-13,"1,267.43"
2005-12-14,"1,272.74"
2005-12-15,"1,270.94"
2005-12-16,"1,267.32"
2005-12-19,"1,259.92"
2005-12-20,"1,259.62"
2005-12-21,"1,262.79"
2005-12-22,"1,268.12"
2005-12-23,"1,268.66"
2005-12-26,"1,268.66"
2005-12-27,"1,256.54"
2005-12-28,"1,258.17"
2005-12-29,"1,254.42"
2006-01-02,"1,254.42"
2006-01-03,"1,268.80"
2006-01-04,"1,273.46"
2006-01-05,"1,273.48"
2006-01-06,"1,285.45"
2006-01-09,"1,290.15"
2006-01-10,"1,289.69"
2006-01-11,"1,294.18"
2006-01-12,"1,286.06"
2006-01-13,"1,287.61"
2006-01-16,"1,287.61"
2006-01-17,"1,282.93"
2006-01-18,"1,277.93"
2006-01-19,"1,285.04"
2006-01-20,"1,261.49"
2006-01-23,"1,263.82"
2006-01-24,"1,266.86"
2006-01-25,"1,264.68"
2006-01-26,"1,273.83"
2006-01-27,"1,283.72"
2006-01-31,"1,280.08"
2006-02-01,"1,282.46"
2006-02-02,"1,270.84"
2006-02-03,"1,264.03"
2006-02-06,"1,254.78"
2006-02-07,"1,254.78"
2006-02-08,"1,265.65"
2006-02-09,"1,263.78"
2006-02-10,"1,266.99"
2006-02-13,"1,262.86"
2006-02-14,"1,275.53"
2006-02-15,"1,280.00"
2006-02-16,"1,289.38"
2006-02-17,"1,287.24"
